page,date,title,body,source
1,2022-05-25,Dollar rises off of 1-month low ahead of Fed minutes," By John McCrank NEW YORK (Reuters) - The U.S. dollar snapped a two-day losing streak on Wednesday ahead of the release of the minutes from the U.S. Federal Reserve's May meeting,...",investing
1,2022-05-25,"Analysis-As U.S. economy's exceptionalism fades, so does the dollar"," By Tommy Wilkes and Saikat Chatterjee LONDON (Reuters) - The dollar's rally to two-decade highs appears to have stalled, with doubts growing on whether the U.S. economy will prove...",investing
1,2022-05-25,Russia will start a pilot project for 'digital' rouble from April - cbank,"
(Reuters) - Russia will start a pilot project using its ""digital"" rouble with real customers and real transactions from April 2023, its central bank said on Wednesday, adding...",investing
1,2022-05-25,Rouble firms to 4-yr high vs dollar as Russian debt payment licence expires," (Reuters) - The Russian rouble firmed past 56 against the dollar on Wednesday for the first time since 2018, and touched a seven-year high against the euro as export-focused...",investing
1,2022-05-25,"Dollar Stabilizes, but Hikes Elsewhere Point to Further Weakness","By Geoffrey Smith
Investing.com -- The dollar stabilized in early trade on Wednesday after falling on Tuesday as a collapse in new home sales and a slump in social media stocks...",investing
1,2022-05-25,Dollar Up Ahead of the Fed Minutes Release,"By Gina Lee
Investing.com – The dollar was up on Wednesday morning in Asia as investors awaited minutes from the last U.S. Federal Reserve meeting.
The U.S. Dollar Index that...",investing
1,2022-05-25,Dollar Bulls on Ice as Bets for Fed Pause on Rate Hikes Gather Pace,"By Yasin Ebrahim 
Investing.com -- The melt-up in dollar has come unstuck recently as the odds of the Federal Reserve putting its rate hike mission on ice later this year gather...",investing
1,2022-05-25,Dollar at one-month low as Lagarde comments lift euro, By John McCrank NEW YORK (Reuters) - The U.S. dollar index hit nearly a one-month low on Tuesday after European Central Bank President Christine Lagarde said euro zone interest...,investing
1,2022-05-24,Russian rouble firms past 57 to the dollar for first time in four years," (Reuters) -The Russian rouble strengthened to levels not seen since March 2018 against the dollar on Tuesday, boosted by export-focused companies selling foreign currency to pay...",investing
1,2022-05-24,Pound Tumbles as Rate-Hike Bets Cut on Renewed Recession Fears,(Bloomberg) -- The pound tumbled and investors rushed to the safety of government bonds after an index of UK private sector growth unexpectedly slid in May to reawaken fears of a...,investing
1,2022-05-24,Dollar Weakens After Lagarde Props Up Euro; Risk-Off Tone Still Dominant,"By Geoffrey Smith
Investing.com -- The dollar fell again in morning trade in Europe after European Central Bank President Christine Lagarde chose not to rule out a 50 basis point...",investing
1,2022-05-24,"Dollar Up, but Small Signs of Economic Recovery Limits Gains","By Gina Lee
Investing.com – The dollar was up on Tuesday morning in Asia. The safe-haven asset clawed back some of its overnight losses, and the yen also strengthened, as U.S....",investing
1,2022-05-23,"Euro climbs as ECB eyes rate hikes, dollar slides"," By Sinéad Carew NEW YORK (Reuters) - The dollar index fell on Monday while the euro rallied after the European Central Bank indicated a move from negative interest rates, and...",investing
1,2022-05-23,Russia cuts mandatory FX conversion level for exporters to 50%," (Reuters) - Russia is cutting the proportion of foreign currency revenues that exporters must convert into roubles to 50% from 80%, the finance ministry said on Monday, after the...",investing
1,2022-05-23,Ruble Hits 4-Year High as Energy Exports Fill Current Account,"By Geoffrey Smith 
Investing.com -- The Russian ruble surged again to a new four-year high on Monday, as the weight of foreign inflows generated by its energy exports continued to...",investing
1,2022-05-23,Russian rouble leaps to near 7-year high vs euro," (Reuters) -The Russian rouble firmed more than 6% against the euro on Monday to a near seven-year high, boosted by capital controls, strong oil prices and an upcoming month-end...",investing
1,2022-05-23,"Biden Says He’ll Review Trump’s China Tariffs, Fueling Yuan Rally","(Bloomberg) -- US President Joe Biden said he’ll review Trump-era tariffs imposed on imports from China amid growing calls from businesses to remove the levies, fueling a rally in...",investing
1,2022-05-23,Dollar Slips; Risk Sentiment on the Rise,"By Peter Nurse
Investing.com - The U.S. dollar weakened in early European trade Monday, with risk sentiment boosted by hopes that loosening lockdowns in China can help global...",investing
1,2022-05-22,"Dollar Down, Investors Cut Bets on Further Dollar Gains","By Gina Lee
Investing.com – The dollar was down on Monday morning in Asia as investors cut bets on further gains from rising U.S. interest rates and hoped that loosening lockdowns...",investing
1,2022-05-20,"U.S. dollar net long bets slip, bitcoin futures surge-CFTC, Reuters data"," NEW YORK (Reuters) - Speculators' net long positioning on the U.S. dollar slipped, after hitting their highest level since late November in the previous week, according to...",investing
1,2022-05-20,Dollar catches a break after bruising week as investors turn risk averse," By Saqib Iqbal Ahmed NEW YORK (Reuters) - The U.S. dollar rose against the euro on Friday, as investor unease about the potential economic fallout from Federal Reserve's efforts...",investing
1,2022-05-20,Sterling set for its biggest weekly rise since Dec 2020 vs dollar, (Reuters) -Sterling was set for its biggest weekly gain since December 2020 against a weakening dollar as the latest economic data suggested the market might not need to scale...,investing
1,2022-05-20,G7 finance leaders reaffirm FX commitment in communique," By Leika Kihara and Francesco Canepa KOENIGSWINTER, Germany (Reuters) - Group of Seven (G7) finance leaders on Friday pledged to closely monitor markets given recent volatility...",investing
1,2022-05-20,China offers more forex hedging tools in wake of yuan volatility," SHANGHAI (Reuters) -China's foreign exchange regulator said on Friday it would offer new derivatives tools to help companies better hedge their currency risks, after recent huge...",investing
1,2022-05-20,Rouble hits 2015 level against euro as EU prepares to pay for gas," (Reuters) -The Russian rouble rallied to its strongest levels against the euro and dollar since June 2015 and March 2018 respectively on Friday, which analysts attributed to EU...",investing
1,2022-05-20,Japan PM says important to keep close ties with overseas FX authorities - Nikkei interview," TOKYO (Reuters) - Japanese Prime Minister Fumio Kishida said it was important for Japan to maintain close ties with overseas currency authorities, in an exclusive interview with...",investing
1,2022-05-20,Dollar Edges Higher but Set for Losing Week; China Cuts Key Rate,"By Peter Nurse
Investing.com - The U.S. dollar edged higher in early European trade Friday, but is still heading for its worst week since February as traders reacted to lower U.S....",investing
1,2022-05-19,"Dollar Up, but Set for Worst Week Since Feb 2022 as Headwinds Remain","By Gina Lee
Investing.com – The dollar was up on Friday morning in Asia, headed for its worst week since early February 2022 as U.S. Treasury yields retreat and fatigue after the...",investing
1,2022-05-19,Euro Racks up Gains Against Dollar as ECB Liffoff Expectations Gather Pace,"By Yasin Ebrahim
Investing.com -- The euro surged against the dollar Thursday as the release of the account of the European Central Bank’s April meeting showed concern over...",investing
1,2022-05-19,"Dollar drops as yen, Swiss franc draw safe-haven flows"," By Saqib Iqbal Ahmed NEW YORK (Reuters) -The dollar slipped across the board on Thursday, falling to a 2-week low, extending its pullback from a two-decade high, as most major...",investing
1,2022-05-19,"Russia to ease restrictions on cash FX, apart from U.S dollars, euros","
(Reuters) - Russia's central bank said on Thursday banks would be allowed to sell citizens foreign currency without any restrictions from May 20, with the exception of U.S....",investing
1,2022-05-19,Russian rouble firms past 62 vs dollar as tax payments loom," (Reuters) - The Russian rouble firmed past 62 against the dollar on Thursday, propped up by capital controls as well as looming tax payments that usually require extra conversion...",investing
1,2022-05-19,"Daily FX trading volumes reach $1.86 trln in April, up 5% - CLS"," LONDON (Reuters) - Average daily foreign exchange trading volumes in April hit $1.86 trillion, 5% higher than a year earlier as volatility shot higher and investors bought and...",investing
1,2022-05-19,Dollar Edges Lower; Risk Sentiment Remains Fragile,"By Peter Nurse
Investing.com - The U.S. dollar edged lower in early European trade Thursday, handing back some of the previous session’s substantial gains although the safe haven...",investing
1,2022-05-18,"Dollar Down, but Investor Sentiment Remains Fragile Over Recession Fears","By Gina Lee
Investing.com – The dollar was down on Thursday morning in Asia. Safe-haven currencies pressed paused after the previous session’s big gains. However, concerns are...",investing
2,2022-05-18,Analysis-British Pound: The sick man of the currency world," By Saikat Chatterjee LONDON (Reuters) - In volatile currency markets, one trade stands out as an easy bet: selling the British pound. With the world's fifth-biggest economy...",investing
2,2022-05-18,Dollar recovers ground as risk appetite fades," By Saqib Iqbal Ahmed NEW YORK (Reuters) -The U.S. dollar rose on Wednesday, on pace to snap a three-session losing streak, as concerns about the outlook for global economic growth...",investing
2,2022-05-18,Pound falls as UK inflation hits 40-year high," By Lucy Raitano LONDON (Reuters) -Britain's pound fell against the dollar on Wednesday, pulling away from almost two-week highs after data showing British inflation rising to a...",investing
2,2022-05-18,S.African central bank eyes digital rand to cut cross-border payment costs, By Rachel Savage and Promit Mukherjee LONDON/JOHANNESBURG (Reuters) - A digital rand in South Africa could cut the high cost of cross-border payments for banks but its...,investing
2,2022-05-18,Rouble dips against dollar after Russia eases capital controls," (Reuters) - The Russian rouble weakened against the dollar on Wednesday but steadied not far from a five-year high against the euro, after losing the support of some capital...",investing
2,2022-05-18,Dollar Edges Higher; U.K. Inflation Soars to 40-Year Highs,"By Peter Nurse
Investing.com - The U.S. dollar edged higher in early European trade Wednesday, rebounding after overnight losses, while sterling weakened after U.K. inflation...",investing
2,2022-05-18,"Dollar Up, Improving Risk Sentiment Boosts Euro and Pound","By Gina Lee
Investing.com – The dollar was up on Wednesday morning in Asia. Overnight surges gave the euro and pound a boost in early trading, alongside strong U.K. jobs data and a...",investing
2,2022-05-17,U.S. considering move to block Russian debt payments -Treasury," By Steve Holland WASHINGTON (Reuters) -The United States is considering blocking Russia’s ability to pay its U.S. bondholders by allowing a key waiver to expire next week, a U.S....",investing
2,2022-05-17,GBP Rallies as Strong Jobs Data Keeps BoE Rate Hike in Play; Record Inflation Eyed,"By Yasin Ebrahim
Investing.com -- The pound surged against the dollar Tuesday as a stronger-than-expected labor market is expected to give the Bank of England the green light to...",investing
2,2022-05-17,Dollar slips as risk appetite returns," By Saqib Iqbal Ahmed NEW YORK (Reuters) -The dollar fell for a third straight day on Tuesday, pulling back from a two-decade high against a basket of major peers, as an uptick in...",investing
2,2022-05-17,Lira Plunges Ninth Day as Turkish Banks Cut Down Dollar Sales,"(Bloomberg) -- Sign up for our Middle East newsletter and follow us @middleeast for news on the region.
Turkey’s lira tumbled for a ninth day, hitting a new low for the year, as...",investing
2,2022-05-17,Indian rupee off record lows on RBI intervention; bond yields rise," By Swati Bhat MUMBAI (Reuters) - The Indian rupee gradually recovered after touching a record low on Tuesday, after the central bank intervened while bond yields edged higher...",investing
2,2022-05-17,Rouble reverses rally as Russia eases capital controls," (Reuters) - The Russian rouble weakened on Tuesday, stepping away from near five-year highs against the euro, after the central bank eased some capital controls that were the main...",investing
2,2022-05-17,Dollar Edges Lower as Risk Appetite Returns,"By Peter Nurse
Investing.com - The U.S. dollar edged lower in early European trade Tuesday, slipping back from a 20-year high as gains in global equity markets helped risk appetite...",investing
2,2022-05-16,"Dollar Up, but Falls From 20-Year High While Yuan Pauses Tumble","By Gina Lee
Investing.com – The dollar was up on Tuesday morning in Asia as it continues its fight for a footing. The Chinese yuan found a floor from its recent drop, however, with...",investing
2,2022-05-16,Dollar slips from 2-decade highs; yuan falls on weak China data," By Sinéad Carew NEW YORK (Reuters) - The U.S. dollar index was lower on Monday after hitting a 20-year peak last week, with the global economy in focus after weak economic data...",investing
2,2022-05-16,"Russian rouble near 5-year highs versus euro, stocks up","(Reuters) -The Russian rouble firmed past 64 per dollar on Monday, briefly jumping to 62.71 to the greenback, and climbed towards its highest in nearly five years against the euro,...",investing
